Date,Close,High,Low,Open,Volume,Returns,Log_Returns,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Position,Volume_SMA,Volume_Ratio,Volatility,ATR,Momentum
2020-03-13,67.22760009765625,67.69921444547847,61.17646208174082,64.06417921518192,370732000,0.11980813577708083,0.11315736329033241,68.34640731811524,70.7739974975586,73.87037811279296,68.07377954141604,70.72136090511523,-2.6475813636991887,-2.02643280057758,-0.6211485631216087,45.06856603418049,70.7739974975586,80.74319425990484,60.80480073521235,0.3221322397157851,243271420.0,1.5239439141679691,0.055298532916602194,4.695208083998699,1.11492919921875
2020-03-16,58.578975677490234,62.65901412516802,58.044481123383505,58.51609179443726,322423600,-0.12864693083797185,-0.13770802357489148,66.97752571105957,69.77345638275146,73.59259254455566,66.61304048542746,69.8219249623282,-3.208884476900735,-2.262923135842211,-0.9459613410585241,40.05287955876694,69.77345638275146,80.43265916791158,59.11425359759135,-0.02510872205407036,255386920.0,1.2624906553554114,0.061638659886080326,5.067832819236371,-13.68881607055664
2020-03-17,61.154701232910156,62.303494624543745,57.65751943951495,59.86079146440188,324056000,0.04397013648037684,0.043030884147465316,66.09573402404786,68.97365131378174,73.38041175842285,65.77329598504019,69.17990838977872,-3.4066124047385244,-2.491660989621474,-0.9149514151170504,41.59306657253817,68.97365131378174,79.7023860608573,58.24491656670619,0.1356070745899054,263963160.0,1.2276561623220452,0.06290470017970101,5.203096984264968,-8.817916870117188
2020-03-18,59.65762710571289,60.46299463712357,57.3479399725011,57.98884992987561,300233600,-0.024480115134494662,-0.024784734846353258,64.73967056274414,68.04312553405762,73.12685317993164,64.83242384975907,68.47455422058866,-3.642130370829591,-2.7217548658630975,-0.9203755049664935,43.99891533729563,68.04312553405762,78.60457959489246,57.48167147322279,0.10301401776480872,274275640.0,1.0946418719504218,0.06272057798055766,5.134861245931548,-13.56063461303711
2020-03-19,59.200538635253906,61.14986537455913,58.6757201816232,59.83177257079482,271857200,-0.007661861402047165,-0.0076913642565882056,63.57539443969726,67.1298927307129,72.87095703125,63.96597997060443,67.78759010315646,-3.8216101325520313,-2.941725919200884,-0.8798842133511471,43.66127582857269,67.1298927307129,77.41602600265112,56.84375945877467,0.11456098779649322,282840200.0,0.9611688861767175,0.0627262161792038,4.930841538881048,-11.64276123046875
2020-03-20,55.44215774536133,60.905593927619734,55.142259915533515,59.780979833542105,401693200,-0.06348558605266574,-0.06559036592190122,62.12936286926269,66.1164125442505,72.51672996520996,62.65462270518241,66.87311363220867,-4.218490927026259,-3.1970789207659593,-1.0214120062603,33.86071060545419,66.1164125442505,76.82777778429404,55.40504730420695,0.0017322927714032738,296447160.0,1.3550246188899229,0.06376497532878632,4.857423057084053,-14.460315704345703
2020-03-23,54.26432800292969,55.26317786918558,51.42015002405914,55.16160047962253,336752800,-0.021244298388263694,-0.021473206292573203,61.11842155456543,65.22385807037354,72.10786994934082,61.36380813560507,65.93912951152134,-4.575321375916275,-3.4727274117960225,-1.1025939641202522,34.60242440450337,65.22385807037354,76.77269413088541,53.67502200986166,0.025513653063402787,302175040.0,1.114429570357631,0.06329723885866603,4.83030153137184,-10.109413146972656
2020-03-24,59.70842361450195,59.904323146252956,56.66592497733461,57.16413951249609,287531200,0.10032549580782324,0.09560604131283142,60.18825988769531,64.7256420135498,71.80451385498047,61.10913359389689,65.47759574137176,-4.368462147474865,-3.6518743589317912,-0.716587788543074,37.30455541067623,64.7256420135498,76.32597964864866,53.12530437845094,0.28374688061374304,305017920.0,0.9426698601839525,0.06783086047201939,4.989924984556405,-9.301616668701172
2020-03-25,59.37949752807617,62.4582721154087,59.084437825370244,60.64438231534842,303602000,-0.005508872392100628,-0.005524102188037974,59.464877700805665,64.15571765899658,71.46258598327637,60.84303573761678,65.02588476260912,-4.182849024992343,-3.758069292143902,-0.4247797328484415,38.79643155044819,64.15571765899658,75.62330440439369,52.68813091359947,0.29175129707052344,310295280.0,0.9784293206135781,0.06764463941505225,5.035187378122359,-7.233821868896484
2020-03-26,62.50423049926758,62.56227261652978,59.582657941818766,59.62135514690596,252087200,0.052623095534177544,0.051285235112543334,59.71180801391601,63.97336120605469,71.20380584716797,61.09860416248613,64.83909555791716,-3.740491395431029,-3.7545537128013273,0.014062317370298505,43.065702460693174,63.97336120605469,75.42330800534195,52.52341440676743,0.4358455225801327,306869360.0,0.8214805153567629,0.06739160229886675,5.06058068452306,2.4693031311035156
2020-03-27,59.91642379760742,61.882678310331166,59.74954530489737,61.1281011506361,204216800,-0.04140210480137785,-0.042283587962519575,58.98069038391113,63.66354885101318,70.89973579406738,60.9167302601971,64.47445320530163,-3.55772294510453,-3.7151875592619676,0.15746461415743784,45.5784415027908,63.66354885101318,75.20472008935377,52.1223776126726,0.33766270441610163,295754700.0,0.6904938450682272,0.06800410010908157,4.80767203548633,-7.311176300048828
2020-03-30,61.62630844116211,61.79802498746447,60.31788821611853,60.6419727055928,167976400,0.028537828781813435,0.028138209971010002,59.28542366027832,63.13147468566895,70.61104370117188,61.02589613419171,64.26347951906908,-3.237583384877368,-3.6196667243850476,0.3820833395076795,42.22404180728344,63.13147468566895,73.9617325305187,52.3012168408192,0.43051106141380496,287083660.0,0.5851130642545104,0.06466701633736956,4.591905136430597,3.047332763671875
2020-03-31,61.50054931640625,63.48373516730324,60.94670980739506,61.81737856650545,197002000,-0.0020406726921818885,-0.002042757701731128,59.32000846862793,62.70787124633789,70.30299438476563,61.09891970068625,64.05881802257554,-2.959898321889284,-3.487713043885895,0.5278147219966112,44.345155771680794,62.70787124633789,73.06383754611576,52.351904946560005,0.44170887124470803,280959980.0,0.7011745943319045,0.06438334342806967,4.54025447505527,0.34584808349609375
2020-04-01,58.26457595825195,60.15343980395874,57.83407962142321,59.61652797885875,176218400,-0.05261698300459006,-0.05405181456047146,59.18070335388184,61.96018695831299,69.94064964294434,60.66286681723483,63.629614906699715,-2.966748089464886,-3.3835200530016936,0.41677196353680745,47.88562115593473,61.96018695831299,71.22259098584064,52.69778293078533,0.300504761556624,278811980.0,0.6320330998689511,0.06407397190325892,4.328286813163083,-1.3930511474609375
2020-04-02,59.23681640625,59.29002414850145,57.29474488517958,58.126716465435884,165934000,0.016686647624359008,0.016548955159093867,59.18433113098145,61.379862785339355,69.59229698181153,60.443474446314085,63.30422242518492,-2.860747978870833,-3.2789656381755217,0.41821765930468846,38.79088791423023,61.379862785339355,69.7059048611249,53.05382070955381,0.37130461511106605,277730040.0,0.5974650779584376,0.06408614189742884,3.9233576835921866,0.03627777099609375
2020-04-03,58.385501861572266,59.423045489400614,57.79538229351841,58.721676049554524,129880000,-0.014371375714038459,-0.01447564412667514,59.47866554260254,60.80401420593262,69.21953460693359,60.12686327943073,62.939872753806206,-2.8130094743754768,-3.1857744054155126,0.37276493104003583,49.65261072784758,60.80401420593262,68.18797138426135,53.42005702760389,0.33623196302800384,272915200.0,0.4758987407077363,0.06409227913805803,3.3836822708500054,2.9433441162109375
